"industry","industry_category"
"Technology Hardware, Storage & Periph...","Hardware"
"Household Durables","Manufacturing"
"Accounting","Professional Services"
"Media","Media"
"Other","Other"
"Business Software and SaaS Services","Software"
"Sporting Goods","Manufacturing"
"Diversified Capital Markets","Financials"
"State","Government"
"Insurance","Insurance"
"Consumer Products","Consumer goods"
"Communications Equipment","Hardware"
"Electrical Equipment","Hardware"
"Retailing","Retail"
"Civic & Social Organization","Non-profit"
"Advertising / Marketing","Professional Services"
"Education Services","Education"
"Leisure","Other"
"Health Care","Healthcare"
"Business Supplies","Manufacturing"
"Research & Consulting Services","Professional Services"
"Medical Devices","Hardware"
"Defense & Aerospace","Defense & Aerospace"
"Casinos & Gambling","Casinos & Gambling"
"Staffing & Recruiting","Professional Services"
"Utilities","Utilities"
"Mechanical Engineering","Professional Services"
"Government","Government"
"Renewable Energy","Energy"
"Health Insurance","Insurance"
"Broadcasting","Media"
"Real Estate / Property Management","Professional Services"
"Air Freight & Logistics","Logistics"
"Venture Capital & Private Equity","Financials"
"Banking & Mortgages","Financials"
"Professional Services","Professional Services"
"Food Processing","Manufacturing"
"000 Industry Review Needed","Other"
"Metals & Mining","Manufacturing"
"Banks","Financials"
"Holding Companies","Other"
"Specialized Consumer Services","Professional Services"
"Electronic Equipment, Instruments & C...","Hardware"
"Commodity Chemicals","Manufacturing"
"Commercial Services & Supplies","Professional Services"
"Oil & Gas","Oil & Gas"
"Distributors","Other"
"Hotels, Restaurants & Leisure","Hospitality"
"Food & Beverages","Hospitality"
"Non-Profit","Non-profit"
"Design","Professional Services"
"Agricultural Products","Manufacturing"
"E-Learning","Education"
"Publishing","Publishing"
"Food Production","Manufacturing"
"Health & Wellness","Healthcare"
"Human Resources","Professional Services"
"Information Technology & Services","Software"
"Telecommunications","Hardware"
"Banking","Financials"
"Integrated Telecommunication Services","Hardware"
"Accounting Services","Professional Services"
"Manufacturing and Industrial Materials","Manufacturing"
"Legal Services","Professional Services"
"Public Relations","Professional Services"
"School Districts","Education"
"Consumer Discretionary","Other"
"Higher Education","Education"
"Management Consulting","Professional Services"
"Travel & Tourism","Hospitality"
"Food","Hospitality"
"Department Stores","Retail"
"Human Resource & Employment Services","Professional Services"
"Commercial Printing","Professional Services"
"Pharmaceuticals","Healthcare"
"Wireless","Hardware"
"Religious Organizations","Other"
"Movies & Entertainment","Hospitality"
"Ground Transportation","Other"
"Civil Engineering","Professional Services"
"Computer & Network Security","Hardware"
"Diversified Telecommunication Services","Hardware"
"Real Estate","Real Estate"
"Consumer Goods","Consumer goods"
"Construction","Construction"
"Electrical","Professional Services"
"Logistics, Utilities, Telecom & Infrastructure","Hardware"
"Gaming Software/Systems","Software"
"Internet Software & Services","Software"
"Financial Services","Financials"
"Renewable Electricity","Manufacturing"
"Agriculture & Forestry","Agriculture"
"Hospitals / Health Care","Healthcare"
"Fundraising","Financials"
"Lodging","Hospitality"
"Chemicals","Manufacturing"
"Social Media","Software"
"Computer Hardware","Hardware"
"Aviation & Aerospace","Aviation & Aerospace"
"Computer Software","Software"
"Beverages","Hospitality"
"Public Sector","Government"
"Restaurants","Hospitality"
"Information Technology and Services","Software"
"Martial Arts","Other"
"Health Care Providers & Services","Healthcare"
"Airlines","Aviation & Aerospace"
"Photography","Professional Services"
"Waste Management","Manufacturing"
"Healthcare, Life Sciences and Biotech","Healthcare"
"Energy / Utilities","Manufacturing"
"Supermarkets","Retail"
"Wholesale","Retail"
"Consumer Online Services","Retail"
"Biotechnology","Software"
"Diversified Financial Services","Financials"
"Academic","Education"
"Family Services","Professional Services"
"Consumer Staples","Consumer goods"
"Transportation","Other"
"eCommerce","Retail"
"Data Security Products and Services","Professional Services"
"Automation","Professional Services"
"Data Processing & Outsourced Services","Professional Services"
"Print & Digital Media","Media"
"Building Materials","Manufacturing"
"Machinery","Manufacturing"
"Architecture","Professional Services"
"Advertising","Media"
"IT Services","Professional Services"
"Manufacturing - Durables","Manufacturing"
"Retail","Retail"
"Internet","Software"
"Consumer Electronics","Consumer goods"
"Investment Banking & Brokerage","Financials"
"Minerals & Mining","Manufacturing"
"Logistics / Transportation","other"
"Aerospace & Defense","Aviation & Aerospace"
"Farming","Manufacturing"
"Apparel, Accessories & Luxury Goods","Retail"
"Broadcast Media","Media"
"Consulting","Professional Services"
"Retail & Consumer Goods","Retail"
"Services","Professional Services"
"Automotive","Manufacturing"
"Educational Institution","Education"
"Manufacturing - Non-Durables","Manufacturing"
"Catalog and Mail-order Houses","Other"
"Computer Networking","Hardware"
"Marketing and Advertising","Professional Services"
"Telecom / Communication Services","Hardware"
"Information Services","Professional Services"
"Federal","Government"
"Food Products","Manufacturing"
"Diversified Consumer Services","Professional Services"
"Local","Government"
"Architecture & Engineering","Professional Services"
"Education","Education"